image,incidence_angle_deg,h,k,l,qr_family_m,legacy_branch_index,observed_column_px,observed_row_px,sigma_px,legacy_placement_error_px,legacy_raw_x,legacy_raw_y,source_reflection_index,source_row_index,legacy_two_theta_deg,legacy_phi_deg
Bi2Se3_5m_5d.osc,5.0,0,0,3,0,1,1543.753336102723,1472.9363426415914,0.9170325477088553,0.5276823794266717,1455.246663897277,1472.9363426415914,11,74,9.315993437026432,-1.2169320075511507
Bi2Se3_5m_5d.osc,5.0,0,0,6,0,1,1540.9829994534539,1342.6689237204969,0.7585303073862767,0.113438208834234,1458.0170005465461,1342.6689237204969,19,68,18.661787206265977,-1.2237607030031938
Bi2Se3_5m_5d.osc,5.0,-1,0,2,1,0,1893.7704057626097,1504.8589863407408,1.2148169488640252,0.9556569568874071,1105.2295942373903,1504.8589863407408,81,61,25.58716329065707,75.31144363012379
Bi2Se3_5m_5d.osc,5.0,-1,0,2,1,1,1189.122127401212,1516.4065533784092,1.9320155875272986,1.7805011177891612,1809.877872598788,1516.4065533784092,81,122,26.012726453006827,-77.45054931344448
Bi2Se3_5m_5d.osc,5.0,-1,0,4,1,1,1181.6850509076537,1425.5287066455442,0.7772345561009262,0.2039449808095404,1817.3149490923463,1425.5287066455442,86,172,28.223618117342053,-64.9556234525096
Bi2Se3_5m_5d.osc,5.0,-1,0,4,1,0,1897.4689896486107,1416.8561574592215,1.1308805312690355,0.846398709830855,1101.5310103513893,1416.8561574592215,86,11,27.721815940968195,62.977195928596785
Bi2Se3_5m_5d.osc,5.0,-1,0,5,1,1,1177.0062782798475,1374.6237253329202,0.9659342919058974,0.6087109792666363,1821.9937217201525,1374.6237253329202,111,172,29.861006834273667,-59.073952332674565
Bi2Se3_5m_5d.osc,5.0,-1,0,5,1,0,1899.5519909780014,1367.2678752939516,2.005952513000782,1.8604691570714504,1099.4480090219986,1367.2678752939516,111,11,29.29165538323298,57.07936911642656
Bi2Se3_5m_5d.osc,5.0,-1,0,8,1,0,1910.380345061854,1211.573625037071,1.971206170426546,1.8229519374705656,1088.619654938146,1211.573625037071,138,13,35.21512132313519,43.44251928695627
Bi2Se3_5m_5d.osc,5.0,-1,0,8,1,1,1160.0831416707688,1215.6607641422634,1.9535495159562157,1.803844702653963,1838.9168583292312,1215.6607641422634,138,153,35.85758708880907,-45.45073303551763
Bi2Se3_5m_5d.osc,5.0,-1,0,10,1,0,1914.2781176331991,1081.4190956439036,0.8230687440390024,0.3390312041891439,1084.7218823668009,1081.4190956439036,160,42,40.14250893640562,35.566836371696525
Bi2Se3_5m_5d.osc,5.0,-1,0,10,1,1,1150.953982918554,1081.8160780416092,1.8903781978462855,1.7352318954227905,1848.046017081446,1081.8160780416092,160,120,40.85298314015308,-37.56585135680683
Bi2Se3_5m_5d.osc,5.0,-1,0,11,1,0,1914.8555450862589,1007.6958713230374,0.7903395233014145,0.249272064404151,1084.1444549137411,1007.6958713230374,187,62,42.78388662755794,32.063778906123844
Bi2Se3_5m_5d.osc,5.0,-1,0,11,1,1,1147.9379848811084,1006.3564943870384,0.8013509797503734,0.28224704205161,1851.0620151188916,1006.3564943870384,187,139,43.49450856326846,-34.051617077263415
Bi2Se3_5m_5d.osc,5.0,-2,1,0,3,1,798.6805448895593,1486.75340270174,9.76965911582482,9.740828467816227,2200.3194551104407,1486.75340270174,264,38,45.21418121208868,-81.69312986581367
Bi2Se3_5m_5d.osc,5.0,-2,1,0,3,0,2247.813382681698,1500.3923379508471,9.906308634628614,9.87787683485259,751.186617318302,1500.3923379508471,264,125,43.34659763585642,82.2447898105197
Bi2Se3_5m_5d.osc,5.0,-1,0,13,1,1,1149.5149455836538,825.5583438714051,0.8539644451904704,0.4083567969918806,1849.4850544163462,825.5583438714051,202,136,49.12480191023387,-27.256007699610393
Bi2Se3_5m_5d.osc,5.0,-1,0,13,1,0,1906.9609678439574,831.4885454762928,0.7773892852898541,0.20453386243717703,1092.0390321560426,831.4885454762928,202,47,48.415556001640525,25.252980868567562
Bi2Se3_5m_5d.osc,5.0,-2,1,6,3,0,2290.384347363723,1260.4626629353775,0.9414094933388776,0.5689919455919935,708.6156526362769,1260.4626629353775,280,29,47.41821001896818,65.72983146308351
Bi2Se3_5m_5d.osc,5.0,-2,1,6,3,1,755.3564768724768,1269.0065639480717,0.7724548665568126,0.18489597309650427,2243.643523127523,1269.0065639480717,280,118,48.77371114660948,-67.54559122360656
